game,edition,player,country,point
Carcassonne,Season 1,Kuya Boards,Philippines,100
Carcassonne,Season 1,CHIHIRO03,Japan,75
Carcassonne,Season 1,El_Pitufo_DV,Argentina,50
Carcassonne,Season 1,Mrwan1,Taiwan,25
Carcassonne,Season 1,Rolente,Spain,10
Carcassonne,Season 1,Adanlasheras,Chile,10
Carcassonne,Season 1,Zbrozlo,Poland,10
Carcassonne,Season 1,kaue101,Brazil,10
Kingdomino,Season 1,cieciel,Poland,100
Kingdomino,Season 1,Sieuth,United States of America,75
Kingdomino,Season 1,Molkky14,France,50
Kingdomino,Season 1,batmanrx7,New Zealand,25
Kingdomino,Season 1,kl_escape,Switzerland,10
Kingdomino,Season 1,yumaman,Japan,10
Kingdomino,Season 1,catimini_3,Canada,10
Kingdomino,Season 1,GinosVougas,Greece,10
