link
Flip 7	20838	5654	https://boardgamegeek.com/boardgame/420087/flip-7
Harmonies	11460	4410	https://boardgamegeek.com/boardgame/414317/harmonies
Bomb Busters	10639	2082	https://boardgamegeek.com/boardgame/413246/bomb-busters
The Fellowship of the Ring: Trick-Taking Game	10273	1928	https://boardgamegeek.com/boardgame/429293/the-fellowship-of-the-ring-trick-taking-game
Ark Nova	10173	3893	https://boardgamegeek.com/boardgame/342942/ark-nova
Sky Team	9631	2901	https://boardgamegeek.com/boardgame/373106/sky-team
Toy Battle	9400	1227	https://boardgamegeek.com/boardgame/434654/toy-battle
Castle Combo	9000	3310	https://boardgamegeek.com/boardgame/416851/castle-combo
Forest Shuffle	8287	3153	https://boardgamegeek.com/boardgame/391163/forest-shuffle
Marvel Champions: The Card Game	8227	1165	https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game
Faraway	8011	3009	https://boardgamegeek.com/boardgame/385761/faraway
Sea Salt & Paper	7255	2668	https://boardgamegeek.com/boardgame/367220/sea-salt-and-paper
Azul	6968	3068	https://boardgamegeek.com/boardgame/230802/azul
The White Castle	6787	2753	https://boardgamegeek.com/boardgame/371942/the-white-castle
Wingspan	6765	3055	https://boardgamegeek.com/boardgame/266192/wingspan
Trio	6492	1767	https://boardgamegeek.com/boardgame/352515/trio
Terraforming Mars	6317	2912	https://boardgamegeek.com/boardgame/167791/terraforming-mars
Spirit Island	5607	1753	https://boardgamegeek.com/boardgame/162886/spirit-island
Can't Stop	5205	1205	https://boardgamegeek.com/boardgame/41/cant-stop
Captain Flip	5082	1392	https://boardgamegeek.com/boardgame/393325/captain-flip
Heat: Pedal to the Metal	5003	2656	https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal
Magic: The Gathering	4930	631	https://boardgamegeek.com/boardgame/463/magic-the-gathering
The Gang	4760	1617	https://boardgamegeek.com/boardgame/411567/the-gang
7 Wonders Duel	4607	1614	https://boardgamegeek.com/boardgame/173346/7-wonders-duel
SETI: Search for Extraterrestrial Intelligence	4346	2890	https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence
Cascadia	4293	2633	https://boardgamegeek.com/boardgame/295947/cascadia
Star Wars: Unlimited	4079	324	https://boardgamegeek.com/boardgame/387866/star-wars-unlimited
Carcassonne	4045	1715	https://boardgamegeek.com/boardgame/822/carcassonne
Splendor	3823	1762	https://boardgamegeek.com/boardgame/148228/splendor
The Crew: Mission Deep Sea	3810	876	https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea
SCOUT	3751	2079	https://boardgamegeek.com/boardgame/291453/scout
Lost Ruins of Arnak	3709	2045	https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak
The Crew: The Quest for Planet Nine	3463	685	https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine
The Castles of Burgundy	3415	1474	https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy
Cartographers	3410	1135	https://boardgamegeek.com/boardgame/263918/cartographers
Race for the Galaxy	3340	668	https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy
